                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.39899,                0.19982,                0.99394,                0.99753,                0.99845,                0.99463,                0.95938,                0.30703,                0.13613,                0.91412,                0.00307,                0.00307,                0.00307
                     38,                0.39686,                0.19857,                0.99478,                0.99764,                0.99876,                0.99483,                 0.9592,                0.30928,                0.14097,                0.91482,               0.002872,               0.002872,               0.002872
                     39,                0.39264,                0.19501,                0.98903,                0.99753,                0.99897,                0.99483,                  0.959,                0.30879,                0.13693,                 0.9167,               0.002674,               0.002674,               0.002674
                     40,                0.38742,                 0.1924,                0.98796,                0.99814,                0.99876,                0.99478,                0.96037,                0.30574,                0.13497,                0.91432,               0.002476,               0.002476,               0.002476
                     41,                0.28678,                0.14696,                0.93496,                0.99701,                0.99938,                0.99479,                0.95969,                0.30381,                0.13246,                0.91333,               0.002278,               0.002278,               0.002278
                     42,                 0.2835,                0.14298,                 0.9299,                0.99787,                0.99876,                 0.9945,                 0.9587,                0.30379,                0.13056,                0.91301,                0.00208,                0.00208,                0.00208
                     43,                0.28017,                0.14087,                0.93116,                0.99808,                0.99938,                0.99487,                0.95833,                0.30404,                0.13241,                0.91316,               0.001882,               0.001882,               0.001882
                     44,                0.27839,                0.13986,                0.92903,                 0.9981,                0.99876,                0.99475,                0.95796,                 0.3064,                0.13387,                0.91448,               0.001684,               0.001684,               0.001684
                     45,                0.27461,                0.13558,                0.92991,                0.99834,                0.99815,                0.99485,                0.95854,                0.30601,                0.13915,                0.91424,               0.001486,               0.001486,               0.001486
                     46,                0.27067,                0.13114,                 0.9248,                0.99815,                0.99852,                0.99476,                0.96006,                0.30464,                0.13779,                0.91233,               0.001288,               0.001288,               0.001288
                     47,                0.26825,                0.12929,                0.92076,                0.99776,                0.99938,                0.99487,                0.95975,                0.30411,                0.13624,                0.91185,                0.00109,                0.00109,                0.00109
                     48,                0.26621,                0.12736,                0.91948,                0.99788,                0.99876,                0.99482,                0.96135,                0.30244,                 0.1369,                0.91095,               0.000892,               0.000892,               0.000892
                     49,                0.26276,                0.12323,                0.91966,                0.99841,                0.99815,                0.99484,                0.96117,                0.30171,                0.13329,                 0.9105,               0.000694,               0.000694,               0.000694
                     50,                 0.2605,                0.11968,                0.91599,                0.99815,                0.99926,                0.99482,                0.95992,                 0.3017,                0.13186,                0.91084,               0.000496,               0.000496,               0.000496
